skin,fat,muscle,ijv,cca
12.0,14.333333333333334,9.0,28.4,28.4
12.0,14.333333333333334,9.0,24.8,24.8
12.0,14.333333333333334,7.0,32.0,32.0
12.0,14.333333333333334,7.0,28.4,28.4
12.0,14.333333333333334,7.0,24.8,24.8
12.0,14.333333333333334,5.0,32.0,32.0
12.0,14.333333333333334,5.0,28.4,28.4
12.0,14.333333333333334,5.0,24.8,24.8
12.0,11.444444444444445,9.0,32.0,32.0
12.0,11.444444444444445,9.0,28.4,28.4
12.0,11.444444444444445,9.0,24.8,24.8
12.0,11.444444444444445,7.0,32.0,32.0
12.0,11.444444444444445,7.0,28.4,28.4
12.0,11.444444444444445,7.0,24.8,24.8
12.0,11.444444444444445,5.0,32.0,32.0
12.0,11.444444444444445,5.0,28.4,28.4
12.0,11.444444444444445,5.0,24.8,24.8
