f_blood,f_fat,f_water,f_mel,f_col,SO2,total_ratio,count
0.007153522793876327,0.9626561771160801,0.08989418821239287,0.0,0.0,0.7404400153156286,1.0597038881223493,9.0
0.003183034683302788,0.9549841182230264,0.09805056087220251,0.0,0.0,0.7359215297375951,1.0562177137785318,8.0
0.0048191733171191855,0.9717092157729793,0.09057390781091232,0.0,0.0,0.7034928385288752,1.0671022969010109,8.0
0.0010549533546567514,0.9898002836564229,0.1038776566565566,0.0,0.0,0.679831705476851,1.0947328936676364,2.0
0.010793172289558329,0.9563851958033363,0.08510570535784344,0.0,0.0,0.6900695798288214,1.052284073450738,3.0
0.004356359437483082,0.9500148368336506,0.11378479858452746,0.0,0.0,0.7073979969306562,1.0681559948556612,4.0
0.0018057097683023939,0.9580637829022219,0.10348433635627977,0.0,0.0,0.7092529913057507,1.063353829026804,9.0
0.005332628190268968,0.9717044351591737,0.10493715417476326,0.0,0.0,0.7119736472812473,1.081974217524206,20.0
0.006763091982679864,0.9621397862633316,0.08921248778169347,0.0,0.0,0.7206101443155336,1.058115366027705,3.0
1.4641776466811641e-05,0.9873940745099529,0.10829687137589007,0.0,0.0,0.7489616960822955,1.0957055876623099,6.0
0.0023097405589606046,0.9534567883523403,0.11216291067114414,0.0,0.0,0.7196321499981189,1.067929439582445,24.0
0.0021763574366164273,0.9846901705341107,0.10158462509941192,0.0,0.0,0.6766159862088328,1.088451153070139,21.0
0.0066470447811192886,0.9716420094486584,0.11013861700400188,0.0,0.0,0.7317148693152866,1.0884276712337797,3.0
0.0010373424072723182,0.9856322749715863,0.11654330857118092,0.0,0.0,0.7037302350186638,1.1032129259500396,2.0
0.0018238195655585266,0.9807269540817546,0.09084635822100182,0.0,0.0,0.7221796680956181,1.0733971318683149,1.0
0.0006491309298142234,0.9791838699148083,0.10469742153999158,0.0,0.0,0.6622819856556543,1.0845304223846142,4.0
0.0045466776902184204,0.9778302646864109,0.08383406470942993,0.0,0.0,0.7493281130876714,1.0662110070860593,2.0
0.0029511332743513644,0.962729496982181,0.09030944449600285,0.0,0.0,0.6661965231506237,1.0559900747525353,4.0
2.097693892982866e-06,0.9797304815990335,0.11811780028391125,0.0,0.0,0.6566507157865266,1.0978503795768377,8.0
0.006229419435897544,0.9682530731964469,0.11526950562179994,0.0,0.0,0.6982441888776256,1.0897519982541444,16.0
0.0073553726916089635,0.9510184052991684,0.09222625840554509,0.0,0.0,0.693369982059021,1.0506000363963224,2.0
0.004417374682236114,0.9571809260049836,0.09111035997262255,0.0,0.0,0.7414647400001558,1.0527086606598424,14.0
8.583696999345247e-05,0.9851772296574774,0.09071348931028715,0.0,0.0,0.6642460341995171,1.075976555937758,5.0
0.004885381707536662,0.9604517728593047,0.08752414115287797,0.0,0.0,0.6931084466887135,1.0528612957197194,2.0
0.004850809101595305,0.9761479718519273,0.10093131694467641,0.0,0.0,0.6968082196133891,1.081930097898199,1.0
0.005129809289325749,0.9761681341399441,0.11280099837679718,0.0,0.0,0.7055849858404686,1.094098941806067,10.0
0.004964912182195408,0.971434088451675,0.08768087730803886,0.0,0.0,0.6851155035166724,1.0640798779419094,5.0
0.0035837459644141034,0.9576467855564683,0.11310614860201687,0.0,0.0,0.6814968051239272,1.0743366801228993,3.0
0.004711603058538821,0.9750973912702838,0.11184411727137362,0.0,0.0,0.7332639539813404,1.0916531116001962,2.0
0.0037668817566844925,0.9549559821534485,0.110437262193912,0.0,0.0,0.7159687589462307,1.0691601261040449,8.0
